
> trade-imports-animals-frontend@0.0.0 format
> prettier --write "src/**/*.js" "**/*.{js,cjs,md,json,config.js,test.js}"

src/auth/get-oidc-config-with-retry.js 44ms (unchanged)
src/auth/get-oidc-config-with-retry.test.js 7ms (unchanged)
src/auth/get-oidc-config.js 2ms (unchanged)
src/auth/get-oidc-config.test.js 5ms (unchanged)
src/auth/get-permissions.js 3ms (unchanged)
src/auth/get-permissions.test.js 1ms (unchanged)
src/auth/get-safe-redirect.js 1ms (unchanged)
src/auth/get-safe-redirect.test.js 1ms (unchanged)
src/auth/get-sign-out-url.js 1ms (unchanged)
src/auth/get-sign-out-url.test.js 3ms (unchanged)
src/auth/refresh-tokens.js 1ms (unchanged)
src/auth/refresh-tokens.test.js 4ms (unchanged)
src/auth/state.js 1ms (unchanged)
src/auth/state.test.js 2ms (unchanged)
src/auth/verify-token.js 1ms (unchanged)
src/auth/verify-token.test.js 3ms (unchanged)
src/client/javascripts/application.js 0ms (unchanged)
src/client/javascripts/components/accessible-autocomplete.js 6ms (unchanged)
src/config/config.js 4ms (unchanged)
src/config/nunjucks/context/context.js 2ms (unchanged)
src/config/nunjucks/context/context.test.js 4ms (unchanged)
src/config/nunjucks/globals/globals.js 0ms (unchanged)
src/config/nunjucks/nunjucks.js 1ms (unchanged)
src/index.js 1ms (unchanged)
src/index.test.js 1ms (unchanged)
src/plugins/auth.js 3ms (unchanged)
src/plugins/auth.test.js 6ms (unchanged)
src/plugins/csrf.js 1ms (unchanged)
src/plugins/csrf.test.js 1ms (unchanged)
src/server/app/analysis/flow-reachability/index.js 0ms (unchanged)
src/server/app/analysis/flow-reachability/path-key.js 1ms (unchanged)
src/server/app/analysis/flow-reachability/problems/collect.js 1ms (unchanged)
src/server/app/analysis/flow-reachability/problems/obligation-problem.js 1ms (unchanged)
src/server/app/analysis/flow-reachability/problems/reasons.js 0ms (unchanged)
src/server/app/analysis/flow-reachability/provers.js 1ms (unchanged)
src/server/app/analysis/simulate.js 1ms (unchanged)
src/server/app/bridge/answers-read.js 0ms (unchanged)
src/server/app/bridge/applicability.js 1ms (unchanged)
src/server/app/bridge/applicability.test.js 1ms (unchanged)
src/server/app/bridge/assemble-fulfilments.js 1ms (unchanged)
src/server/app/bridge/collection-complete.js 1ms (unchanged)
src/server/app/bridge/collection-complete.test.js 3ms (unchanged)
src/server/app/bridge/evaluation.js 0ms (unchanged)
src/server/app/bridge/feature-assembly.golden.test.js 1ms (unchanged)
src/server/app/bridge/fulfilment-bindings.js 2ms (unchanged)
src/server/app/bridge/fulfilment-id.js 2ms (unchanged)
src/server/app/bridge/fulfilment-registry.js 4ms (unchanged)
src/server/app/bridge/fulfilment-registry.test.js 1ms (unchanged)
src/server/app/bridge/fulfilments.characterisation.test.js 1ms (unchanged)
src/server/app/bridge/fulfilments/fail-projection.js 0ms (unchanged)
src/server/app/bridge/fulfilments/fulfilment-index-path.js 1ms (unchanged)
src/server/app/bridge/fulfilments/fulfilments.test.js 5ms (unchanged)
src/server/app/bridge/fulfilments/index.js 0ms (unchanged)
src/server/app/bridge/fulfilments/project-answers/assemble.js 0ms (unchanged)
src/server/app/bridge/fulfilments/project-answers/dense-indices.js 1ms (unchanged)
src/server/app/bridge/fulfilments/project-answers/index.js 1ms (unchanged)
src/server/app/bridge/fulfilments/project-answers/projections.js 1ms (unchanged)
src/server/app/bridge/obligation-source.js 3ms (unchanged)
src/server/app/bridge/purge.js 1ms (unchanged)
src/server/app/bridge/read-fulfilment.js 2ms (unchanged)
src/server/app/bridge/readiness-config.js 0ms (unchanged)
src/server/app/bridge/scope.js 2ms (unchanged)
src/server/app/bridge/scope.test.js 3ms (unchanged)
src/server/app/bridge/status/classification/index.js 1ms (unchanged)
src/server/app/bridge/status/completeness/index.js 1ms (unchanged)
src/server/app/bridge/status/completeness/invariants.js 1ms (unchanged)
src/server/app/bridge/status/completeness/leaf.js 1ms (unchanged)
src/server/app/bridge/status/completeness/records.js 0ms (unchanged)
src/server/app/bridge/status/facets.js 0ms (unchanged)
src/server/app/bridge/status/index.js 1ms (unchanged)
src/server/app/bridge/status/obligation-lookup.js 0ms (unchanged)
src/server/app/bridge/status/structure/index.js 1ms (unchanged)
src/server/app/bridge/status/vocabulary.js 0ms (unchanged)
src/server/app/contract.test.js 4ms (unchanged)
src/server/app/copy-convention.test.js 2ms (unchanged)
src/server/app/copy-parity.test.js 3ms (unchanged)
src/server/app/engine/commit-purge-authority.test.js 1ms (unchanged)
src/server/app/engine/entry-write-purge-window.test.js 1ms (unchanged)
src/server/app/engine/evaluate/cardinality.js 1ms (unchanged)
src/server/app/engine/evaluate/collection-view.js 1ms (unchanged)
src/server/app/engine/evaluate/collection-view.test.js 1ms (unchanged)
src/server/app/engine/index.js 0ms (unchanged)
src/server/app/engine/journey.js 2ms (unchanged)
src/server/app/engine/journey.test.js 4ms (unchanged)
src/server/app/engine/mutators.test.js 5ms (unchanged)
src/server/app/engine/persistence/records.js 1ms (unchanged)
src/server/app/engine/persistence/session.js 1ms (unchanged)
src/server/app/engine/read.js 1ms (unchanged)
src/server/app/engine/read.test.js 1ms (unchanged)
src/server/app/engine/request-view.js 0ms (unchanged)
src/server/app/engine/request-view.test.js 1ms (unchanged)
src/server/app/engine/resume-self-heal.test.js 1ms (unchanged)
src/server/app/engine/store-contract.test.js 2ms (unchanged)
src/server/app/engine/store.js 1ms (unchanged)
src/server/app/engine/submit-is-finalise.test.js 1ms (unchanged)
src/server/app/engine/submit.test.js 2ms (unchanged)
src/server/app/engine/test-support.js 2ms (unchanged)
src/server/app/engine/write-through-per-commit.test.js 1ms (unchanged)
src/server/app/engine/write/commit.js 1ms (unchanged)
src/server/app/engine/write/entries/by-obligation.js 1ms (unchanged)
src/server/app/engine/write/entries/mutate.js 1ms (unchanged)
src/server/app/engine/write/entries/reconcile.js 1ms (unchanged)
src/server/app/engine/write/flow-only-session.test.js 1ms (unchanged)
src/server/app/engine/write/index.js 0ms (unchanged)
src/server/app/engine/write/pipeline/canonical.js 1ms (unchanged)
src/server/app/engine/write/pipeline/flow-only.js 1ms (unchanged)
src/server/app/engine/write/pipeline/predicates.js 0ms (unchanged)
src/server/app/engine/write/pipeline/split.js 1ms (unchanged)
src/server/app/engine/write/pipeline/view.js 0ms (unchanged)
src/server/app/engine/write/submit.js 1ms (unchanged)
src/server/app/engine/write/write-guard.test.js 1ms (unchanged)
src/server/app/flow/dispatch.js 2ms (unchanged)
src/server/app/flow/gates.js 1ms (unchanged)
src/server/app/flow/journey-flow.js 1ms (unchanged)
src/server/app/flow/journey-flow.test.js 0ms (unchanged)
src/server/app/flow/navigation.js 1ms (unchanged)
src/server/app/flow/prerequisites.js 1ms (unchanged)
src/server/app/flow/run-state.js 1ms (unchanged)
src/server/app/flow/section-status.js 1ms (unchanged)
src/server/app/flow/unrecognised-answer-keys.test.js 1ms (unchanged)
src/server/app/indexed.test.js 3ms (unchanged)
src/server/app/lib/answered.js 0ms (unchanged)
src/server/app/lib/http-status.js 0ms (unchanged)
src/server/app/lib/path.js 2ms (unchanged)
src/server/app/lib/path.test.js 2ms (unchanged)
src/server/app/lib/validate/calendar.js 2ms (unchanged)
src/server/app/lib/validate/calendar.test.js 2ms (unchanged)
src/server/app/lib/validate/index.js 0ms (unchanged)
src/server/app/lib/validate/persists-cleaned-value.test.js 1ms (unchanged)
src/server/app/lib/validate/run.js 1ms (unchanged)
src/server/app/lib/validate/validate.test.js 6ms (unchanged)
src/server/app/lib/validate/validators.js 3ms (unchanged)
src/server/app/model/analysis/coverage.test.js 3ms (unchanged)
src/server/app/model/analysis/reachability/fidelity/confirm.js 1ms (unchanged)
src/server/app/model/analysis/reachability/fidelity/dependency-record.js 1ms (unchanged)
src/server/app/model/analysis/reachability/fidelity/prove.js 1ms (unchanged)
src/server/app/model/analysis/reachability/fidelity/witness-fulfilments.js 1ms (unchanged)
src/server/app/model/analysis/reachability/graph/close.js 1ms (unchanged)
src/server/app/model/analysis/reachability/graph/defects.js 1ms (unchanged)
src/server/app/model/analysis/reachability/graph/prove.js 1ms (unchanged)
src/server/app/model/analysis/reachability/graph/seed.js 0ms (unchanged)
src/server/app/model/analysis/reachability/index.js 0ms (unchanged)
src/server/app/model/analysis/reachability/reachability.test.js 13ms (unchanged)
src/server/app/model/analysis/reachability/witness/kinds.js 1ms (unchanged)
src/server/app/model/analysis/reachability/witness/synthesise.js 2ms (unchanged)
src/server/app/model/analysis/reachability/witness/witness-shapes.js 1ms (unchanged)
src/server/app/model/no-display-keys.js 2ms (unchanged)
src/server/app/model/no-display-keys.test.js 2ms (unchanged)
src/server/app/model/obligations/evaluator.js 0ms (unchanged)
src/server/app/model/obligations/evaluator.test.js 20ms (unchanged)
src/server/app/model/obligations/evaluator.units.test.js 13ms (unchanged)
src/server/app/model/obligations/evaluator/converge-purge.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/enumeration/enumerate-group-fulfilment-indexes.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/enumeration/enumerate-group-paths-from-storage.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/implications/build.js 0ms (unchanged)
src/server/app/model/obligations/evaluator/implications/index.js 2ms (unchanged)
src/server/app/model/obligations/evaluator/index.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/internal/group-instance-paths.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/internal/is-keyed-record.js 0ms (unchanged)
src/server/app/model/obligations/evaluator/internal/views-equal.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/manifest-index/build-ancestor-groups.js 0ms (unchanged)
src/server/app/model/obligations/evaluator/manifest-index/build-descendants.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/manifest-index/build-obligation-children.js 0ms (unchanged)
src/server/app/model/obligations/evaluator/manifest-index/build-obligations-by-id.js 0ms (unchanged)
src/server/app/model/obligations/evaluator/manifest-index/classify-obligations.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/purge/drop-unknown-fulfilments.js 0ms (unchanged)
src/server/app/model/obligations/evaluator/purge/purge-storage.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/scope/make-in-scope-check.js 1ms (unchanged)
src/server/app/model/obligations/evaluator/scope/run-applicability-decisions.js 0ms (unchanged)
src/server/app/model/obligations/helper-internals.js 1ms (unchanged)
src/server/app/model/obligations/helpers/helpers.test.js 9ms (unchanged)
src/server/app/model/obligations/helpers/index.js 1ms (unchanged)
src/server/app/model/obligations/helpers/introspection/obligation-metadata.js 1ms (unchanged)
src/server/app/model/obligations/helpers/projection/allow-listed.js 1ms (unchanged)
src/server/app/model/obligations/helpers/projection/internals/build-projection-gate.js 1ms (unchanged)
src/server/app/model/obligations/helpers/projection/internals/build-projection-gate.test.js 2ms (unchanged)
src/server/app/model/obligations/helpers/projection/internals/derive-union.js 0ms (unchanged)
src/server/app/model/obligations/helpers/projection/internals/filter-and-project.js 1ms (unchanged)
src/server/app/model/obligations/helpers/projection/not-in-union-of.js 1ms (unchanged)
src/server/app/model/obligations/helpers/scalar/always-in-scope.js 0ms (unchanged)
src/server/app/model/obligations/helpers/scalar/any-allow-listed.js 1ms (unchanged)
src/server/app/model/obligations/helpers/scalar/branched-gate.js 1ms (unchanged)
src/server/app/model/obligations/helpers/scalar/equals-gate.js 1ms (unchanged)
src/server/app/model/obligations/helpers/scalar/includes-gate.js 0ms (unchanged)
src/server/app/model/obligations/helpers/scalar/matches.js 1ms (unchanged)
src/server/app/model/obligations/helpers/scalar/present-gate.js 0ms (unchanged)
src/server/app/model/obligations/helpers/scalar/present.js 1ms (unchanged)
src/server/app/model/obligations/index-delimiter.js 0ms (unchanged)
src/server/app/model/obligations/instance-complete.js 1ms (unchanged)
src/server/app/model/obligations/instance-complete.test.js 3ms (unchanged)
src/server/app/model/obligations/is-blank-value.js 1ms (unchanged)
src/server/app/model/obligations/is-blank-value.test.js 1ms (unchanged)
src/server/app/model/obligations/manifest-graph.js 1ms (unchanged)
src/server/app/model/obligations/manifest-graph.test.js 1ms (unchanged)
src/server/app/model/obligations/manifest.js 1ms (unchanged)
src/server/app/model/obligations/path-prefix-depth.test.js 1ms (unchanged)
src/server/app/model/obligations/state-queries.js 2ms (unchanged)
src/server/app/model/obligations/state-queries.test.js 4ms (unchanged)
src/server/app/obligation-purity.js 0ms (unchanged)
src/server/app/obligation-purity.test.js 0ms (unchanged)
src/server/app/one-load-per-request.test.js 2ms (unchanged)
src/server/app/routes.js 1ms (unchanged)
src/server/app/routes.test.js 0ms (unchanged)
src/server/app/services/_capture/capture.js 1ms (unchanged)
src/server/app/services/_capture/fixtures.js 0ms (unchanged)
src/server/app/services/_capture/fixtures.test.js 0ms (unchanged)
src/server/app/services/address-book/address-book.test.js 5ms (unchanged)
src/server/app/services/address-book/client.js 2ms (unchanged)
src/server/app/services/address-book/index.js 2ms (unchanged)
src/server/app/services/address-book/stub/from-row.js 0ms (unchanged)
src/server/app/services/address-book/stub/index.js 0ms (unchanged)
src/server/app/services/certification-purposes/index.js 0ms (unchanged)
src/server/app/services/certification-purposes/stub.js 0ms (unchanged)
src/server/app/services/commercial-transporters/commercial-transporters.test.js 1ms (unchanged)
src/server/app/services/commercial-transporters/index.js 0ms (unchanged)
src/server/app/services/commercial-transporters/records.js 0ms (unchanged)
src/server/app/services/countries/client.js 1ms (unchanged)
src/server/app/services/countries/index.js 1ms (unchanged)
src/server/app/services/countries/stub.js 0ms (unchanged)
src/server/app/services/document-types/index.js 0ms (unchanged)
src/server/app/services/document-types/stub.js 0ms (unchanged)
src/server/app/services/document-uploads/index.js 0ms (unchanged)
src/server/app/services/document-uploads/real.js 1ms (unchanged)
src/server/app/services/document-uploads/real.test.js 3ms (unchanged)
src/server/app/services/document-uploads/stub.js 1ms (unchanged)
src/server/app/services/document-uploads/stub.test.js 2ms (unchanged)
src/server/app/services/import-reason-purpose/index.js 1ms (unchanged)
src/server/app/services/import-reason-purpose/stub.js 0ms (unchanged)
src/server/app/services/mapper-a-enum-contract.test.js 1ms (unchanged)
src/server/app/services/persistence/it-mode.js 0ms (unchanged)
src/server/app/services/persistence/records/errors.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/decode.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/encode.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/fail.js 0ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/fulfilment-codec.test.js 3ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/index.js 0ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/obligations/lookup.js 0ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/records/decode-records.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/records/records-entry.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/records/unknown-stored.js 0ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/shape/object.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/validate/current-form.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/validate/fulfilment-id.js 1ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/validate/obligation-id.js 0ms (unchanged)
src/server/app/services/persistence/records/fulfilment-codec/validate/value.js 0ms (unchanged)
src/server/app/services/persistence/records/index.js 0ms (unchanged)
src/server/app/services/persistence/records/mapper-a-contract.test.js 1ms (unchanged)
src/server/app/services/persistence/records/mapper.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/commodity-reference.js 1ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/index.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/commodity.js 1ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/index.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/sections/additional-details.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/sections/direct-fields.js 1ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/sections/notification.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/sections/origin.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/mapper-a/sections/transport.js 1ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/notification-mapper.test.js 4ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/compact.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/iso-date.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/lines/from-fulfilment.js 1ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/lines/group-by-commodity.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/lines/species-entry.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/lines/species-lines.js 0ms (unchanged)
src/server/app/services/persistence/records/notification-mapper/shared/lines/total.js 1ms (unchanged)
src/server/app/services/persistence/records/real/config.js 0ms (unchanged)
src/server/app/services/persistence/records/real/http/failed.js 1ms (unchanged)
src/server/app/services/persistence/records/real/http/get-fulfilment.js 0ms (unchanged)
src/server/app/services/persistence/records/real/http/headers.js 0ms (unchanged)
src/server/app/services/persistence/records/real/http/put.js 0ms (unchanged)
src/server/app/services/persistence/records/real/index.js 0ms (unchanged)
src/server/app/services/persistence/records/real/lifecycle/create.js 1ms (unchanged)
src/server/app/services/persistence/records/real/lifecycle/mutate.js 1ms (unchanged)
src/server/app/services/persistence/records/real/lifecycle/read.js 1ms (unchanged)
src/server/app/services/persistence/records/real/lifecycle/transition.js 1ms (unchanged)
src/server/app/services/persistence/records/real/logger.js 0ms (unchanged)
src/server/app/services/persistence/records/real/marshal/document.js 1ms (unchanged)
src/server/app/services/persistence/records/real/marshal/list-item.js 1ms (unchanged)
src/server/app/services/persistence/records/real/real.amend-list.test.js 3ms (unchanged)
src/server/app/services/persistence/records/real/real.integration.test.js 2ms (unchanged)
src/server/app/services/persistence/records/real/real.requests.test.js 5ms (unchanged)
src/server/app/services/persistence/records/real/status.js 1ms (unchanged)
src/server/app/services/persistence/records/real/write-guards/assert-writable.js 0ms (unchanged)
src/server/app/services/persistence/records/real/write-guards/resolve-status.js 0ms (unchanged)
src/server/app/services/persistence/records/records-port.test.js 3ms (unchanged)
src/server/app/services/persistence/records/stub/index.js 0ms (unchanged)
src/server/app/services/persistence/records/stub/lifecycle/create.js 1ms (unchanged)
src/server/app/services/persistence/records/stub/lifecycle/mutate.js 0ms (unchanged)
src/server/app/services/persistence/records/stub/lifecycle/read.js 1ms (unchanged)
src/server/app/services/persistence/records/stub/lifecycle/transition.js 1ms (unchanged)
src/server/app/services/persistence/records/stub/list-query.js 0ms (unchanged)
src/server/app/services/persistence/records/stub/marshal/document.js 0ms (unchanged)
src/server/app/services/persistence/records/stub/marshal/list-item.js 1ms (unchanged)
src/server/app/services/persistence/records/stub/reference-number.js 0ms (unchanged)
src/server/app/services/persistence/records/stub/store/state.js 0ms (unchanged)
src/server/app/services/persistence/records/stub/store/writable.js 0ms (unchanged)
src/server/app/services/persistence/session/index.js 0ms (unchanged)
src/server/app/services/persistence/session/real.js 1ms (unchanged)
src/server/app/services/persistence/session/real.redis.integration.test.js 2ms (unchanged)
src/server/app/services/persistence/session/real.test.js 2ms (unchanged)
src/server/app/services/persistence/session/session.test.js 2ms (unchanged)
src/server/app/services/persistence/session/stub.js 1ms (unchanged)
src/server/app/services/ports/client.js 1ms (unchanged)
src/server/app/services/ports/index.js 1ms (unchanged)
src/server/app/services/ports/stub.js 0ms (unchanged)
src/server/app/services/run-mode.test.js 2ms (unchanged)
src/server/app/services/transport-reference/index.js 0ms (unchanged)
src/server/app/services/transport-reference/stub.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/config.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/additional-details.fit.spec.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/controller.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/evaluation.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/additional-details/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/controller.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/copy/copy.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/evaluation.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/fit/hub-picker.fit.spec.js 5ms (unchanged)
